date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:31	202646/202646	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Apr%202025%2003:52:26%20GMT	https://www.johnsonconsulting.com/	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/index.html	(from )
20:52:31	132/132	---M--	200	added ('OK')	text/plain	etag:%22600508e1-84%22	https://www.johnsonconsulting.com/robots.txt		(from )
20:52:31	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2003%20Apr%202025%2003:52:27%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/zouh/www.googletagmanager.com/gtm.05445.delayed	(from https://www.johnsonconsulting.com/)
20:52:32	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2003%20Apr%202025%2003:52:28%20GMT	https://www.johnsonconsulting.com/xmlrpc.php	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/xmlrpc.php	(from https://www.johnsonconsulting.com/)
20:52:33	26584/26584	---M--	200	added ('OK')	font/woff2	etag:%2261530765-67d8%22	https://www.johnsonconsulting.com/wp-content/uploads/2021/09/GlyphaLTPro-Bold.woff2	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/uploads/2021/09/GlyphaLTPro-Bold.woff2	(from https://www.johnsonconsulting.com/)
20:52:33	72484/72484	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%227a2fa54da1cb4280d7be1dc34e2b423d-gzip%22	https://www.johnsonconsulting.com/feed/	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/feed/index.html	(from https://www.johnsonconsulting.com/)
20:52:33	33500/33500	---M--	200	added ('OK')	font/woff	etag:%2261530765-82dc%22	https://www.johnsonconsulting.com/wp-content/uploads/2021/09/GlyphaLTPro-Bold.woff	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/uploads/2021/09/GlyphaLTPro-Bold.woff	(from https://www.johnsonconsulting.com/)
20:52:33	59724/59724	---M--	200	added ('OK')	application/octet-stream	etag:%2261530764-e94c%22	https://www.johnsonconsulting.com/wp-content/uploads/2021/09/GlyphaLTPro-Bold.ttf	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/uploads/2021/09/GlyphaLTPro-Bold.ttf	(from https://www.johnsonconsulting.com/)
20:52:34	250984/250984	---M--	200	added ('OK')	font/woff2	etag:%2261530735-3d468%22	https://www.johnsonconsulting.com/wp-content/uploads/2021/09/Calibri.woff2	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/uploads/2021/09/Calibri.woff2	(from https://www.johnsonconsulting.com/)
20:52:34	356872/356872	---M--	200	added ('OK')	font/woff	etag:%2261530724-57208%22	https://www.johnsonconsulting.com/wp-content/uploads/2021/09/Calibri.woff	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/uploads/2021/09/Calibri.woff	(from https://www.johnsonconsulting.com/)
20:52:34	784/784	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%227a2fa54da1cb4280d7be1dc34e2b423d-gzip%22	https://www.johnsonconsulting.com/comments/feed/	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/comments/feed/index.html	(from https://www.johnsonconsulting.com/)
20:52:34	3549/3549	---MCZ	200	added ('OK')	text/css	etag:W/%2263e722eb-ddd%22	https://www.johnsonconsulting.com/wp-content/plugins/announcer/public/css/style.css?ver=5.8	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/plugins/announcer/public/css/style41a3.css	(from https://www.johnsonconsulting.com/)
20:52:34	704596/704596	---M--	200	added ('OK')	application/octet-stream	etag:%22615306d5-ac054%22	https://www.johnsonconsulting.com/wp-content/uploads/2021/09/Calibri.ttf	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/uploads/2021/09/Calibri.ttf	(from https://www.johnsonconsulting.com/)
20:52:34	16466/16466	---MCZ	200	added ('OK')	text/css	etag:W/%22679276cb-4052%22	https://www.johnsonconsulting.com/wp-content/plugins/testimonial-free/src/Frontend/assets/css/swiper.min.css?ver=3.1.5	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/plugins/testimonial-free/src/Frontend/assets/css/swiper.minc6bd.css	(from https://www.johnsonconsulting.com/)
20:52:35	29062/29062	---MCZ	200	added ('OK')	text/css	etag:W/%22679276cb-7186%22	https://www.johnsonconsulting.com/wp-content/plugins/testimonial-free/src/Frontend/assets/css/font-awesome.min.css?ver=3.1.5	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/plugins/testimonial-free/src/Frontend/assets/css/font-awesome.minc6bd.css	(from https://www.johnsonconsulting.com/)
20:52:35	1708/1708	---MCZ	200	added ('OK')	text/css	etag:W/%22679276cb-6ac%22	https://www.johnsonconsulting.com/wp-content/plugins/testimonial-free/src/Frontend/assets/css/deprecated-style.min.css?ver=3.1.5	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/plugins/testimonial-free/src/Frontend/assets/css/deprecated-style.minc6bd.css	(from https://www.johnsonconsulting.com/)
20:52:35	8033/8033	---MCZ	200	added ('OK')	text/css	etag:W/%22679276cb-1f61%22	https://www.johnsonconsulting.com/wp-content/plugins/testimonial-free/src/Frontend/assets/css/style.min.css?ver=3.1.5	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/plugins/testimonial-free/src/Frontend/assets/css/style.minc6bd.css	(from https://www.johnsonconsulting.com/)
20:52:35	78361/78361	---MCZ	200	added ('OK')	text/css	etag:W/%22679276de-13219%22	https://www.johnsonconsulting.com/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=2.9.4	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/plugins/ultimate-social-media-icons/css/sfsi-stylef0c3.css	(from https://www.johnsonconsulting.com/)
20:52:36	7327/7327	---MCZ	200	added ('OK')	text/css	etag:W/%22679276d1-1c9f%22	https://www.johnsonconsulting.com/wp-content/plugins/popups-for-divi/styles/front.min.css?ver=3.0.6	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/plugins/popups-for-divi/styles/front.min7c45.css	(from https://www.johnsonconsulting.com/)
20:52:36	6106/6106	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Apr%202025%2003:52:32%20GMT	https://use.typekit.net/csa6uuh.css?ver=6.7.1	C:/My%20Web%20Sites/zouh/use.typekit.net/csa6uuh9704.css	(from https://www.johnsonconsulting.com/)
20:52:36	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2265b01d8a-24d3%22	https://www.johnsonconsulting.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://www.johnsonconsulting.com/)
20:52:38	92172/92172	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2265b01d8a-1680c%22	http://www.johnsonconsulting.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	(from https://www.johnsonconsulting.com/)
20:52:38	11208/11208	---MCZ	200	added ('OK')	text/css	etag:W/%2267d88f86-2bc8%22	https://www.johnsonconsulting.com/wp-content/et-cache/4252/et-divi-dynamic-4252.css?ver=1742245766	C:/My%20Web%20Sites/zouh/www.johnsonconsulting.com/wp-content/et-cache/4252/et-divi-dynamic-4252d1fc.css	(from https://www.johnsonconsulting.com/)
